abilityDesc_1017087550	Inflicts [AbilityParam]{passive_attack_param_val}%[CloseParam] more damage on Special units.
abilityDesc_1022723509	
abilityDesc_1023080053	Lowers the squad’s movement speed by [AbilityParam]{controldist_delta}[CloseParam]. Duration: [AbilityParam]{control_duration}[CloseParam] turn(s).
abilityDesc_1033086317	[AbilityName]Flaming Fist<br>[AbilityBody]A fiery blow from the Pentademon burns into the enemy's health. A basic attack that inflicts magical damage. Increases enemy aggression toward the Pentademon.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Ability Type:<color=FF0000> Damage: 68<br><color=FFFFFF>Range: <color=00B0F0> 1 cell<br><color=FFFFFF>Cooldown: <color=00B0F0> 0 rounds<br><color=FFFFFF>Duration: <color=00B0F0> instant<br><color=FFFFFF>Target Type: <color=00B0F0> single target<br><color=FFFFFF>Ability Type: <color=E36C0A> Physical
abilityDesc_1033743346	Prayer heals the Paladin and his nearby allies within [AbilityParam]{radius_area_ability}[CloseParam] cells by [AbilityParam]{hot_single}[CloseParam] and additionally by [AbilityParam]{hot_permanent}[CloseParam] over the following turns. Duration: [AbilityParam]{hot_duration}[CloseParam] turn(s).
abilityDesc_1036973018	Increases an allied squad's speed by [AbilityParam]{controldist_delta}[CloseParam]. Duration: [AbilityParam]{control_duration}[CloseParam] turn(s).
abilityDesc_1037093766	[AbilityName]Searing Touch<br>[AbilityBody]The touch of these fiery imp's hands causes moderate physical damage to one target. A basic attack, which increases the opponent's aggression toward the imp.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Ability:<color=FF0000> Damage: 34<br><color=FFFFFF>Range: <color=00B0F0> 1 cell<br><color=FFFFFF>Cooldown: <color=00B0F0> 0 rounds<br><color=FFFFFF>Duration: <color=00B0F0> instant<br><color=FFFFFF>Target Type: <color=00B0F0> single target<br><color=FFFFFF>Ability Type: <color=E36C0A> Physical
abilityDesc_103791127	An attack that inflicts [AbilityParam]{ability_damage}[CloseParam] points of physical damage.
abilityDesc_1054653140	A terrible bite that inflicts [AbilityParam]{ability_damage}[CloseParam] points of physical damage.
abilityDesc_107162298	[AbilityName]Sweeping Strike<br>[AbilityBody]A very powerful blow, with which the Vagabond can attack enemies two cells away. Everyone in range takes damage. There is also a chance that the target will be stunned after the attack.<br><font=tahoma_regular_8><align=left><color=FFFFFF><font=tahoma_bold_8>Ability Type:<color=FF0000> Damage: 48<br><color=FFFFFF>Range: <color=00B0F0> 2 cells<br><color=FFFFFF>Cooldown: <color=00B0F0>3 rounds<br><color=FFFFFF>Duration: <color=00B0F0> instant<br><color=FFFFFF>Target Type: <color=00B0F0> single target<br><color=FFFFFF>Ability Type: <color=E36C0A> Physical
abilityDesc_1072052074	No penalty for ranged attacks
